anio,semana,chart_date,country_code,banda,label_group,pct_streams
2021,12,2021-03-25,CO,50,Universal,0.32677838
2021,12,2021-03-25,CO,50,INgrooves,0.0631474
2021,12,2021-03-25,CO,50,Virgin,0.0
2021,12,2021-03-25,CO,50,Sony,0.43099126
2021,12,2021-03-25,CO,50,Orchard,0.10452762
2021,12,2021-03-25,CO,50,Warner,0.05702895
2021,12,2021-03-25,CO,50,Indies,0.01752639
2021,12,2021-03-25,CO,100,Universal,0.34218002
2021,12,2021-03-25,CO,100,INgrooves,0.06178875
2021,12,2021-03-25,CO,100,Virgin,0.0
2021,12,2021-03-25,CO,100,Sony,0.36988122
2021,12,2021-03-25,CO,100,Orchard,0.1197184
2021,12,2021-03-25,CO,100,Warner,0.07781864
2021,12,2021-03-25,CO,100,Indies,0.02861298
2021,12,2021-03-25,CO,200,Universal,0.33965649
2021,12,2021-03-25,CO,200,INgrooves,0.0525364
2021,12,2021-03-25,CO,200,Virgin,0.0
2021,12,2021-03-25,CO,200,Sony,0.34450109
2021,12,2021-03-25,CO,200,Orchard,0.12123627
2021,12,2021-03-25,CO,200,Warner,0.0997661
2021,12,2021-03-25,CO,200,Indies,0.04230366
2021,13,2021-04-01,CO,10,Universal,0.33638323
2021,13,2021-04-01,CO,10,INgrooves,0.09196523
2021,13,2021-04-01,CO,10,Virgin,0.0
2021,13,2021-04-01,CO,10,Sony,0.27915656
2021,13,2021-04-01,CO,10,Orchard,0.29249499
2021,13,2021-04-01,CO,10,Warner,0.0
2021,13,2021-04-01,CO,10,Indies,0.0
2021,13,2021-04-01,CO,20,Universal,0.4011683
2021,13,2021-04-01,CO,20,INgrooves,0.05389986
2021,13,2021-04-01,CO,20,Virgin,0.0
2021,13,2021-04-01,CO,20,Sony,0.37350356
2021,13,2021-04-01,CO,20,Orchard,0.17142827
2021,13,2021-04-01,CO,20,Warner,0.0
2021,13,2021-04-01,CO,20,Indies,0.0
2021,13,2021-04-01,CO,50,Universal,0.35454649
2021,13,2021-04-01,CO,50,INgrooves,0.06225377
2021,13,2021-04-01,CO,50,Virgin,0.0
2021,13,2021-04-01,CO,50,Sony,0.40275365
2021,13,2021-04-01,CO,50,Orchard,0.10955455
2021,13,2021-04-01,CO,50,Warner,0.05413475
2021,13,2021-04-01,CO,50,Indies,0.01675679
2021,13,2021-04-01,CO,100,Universal,0.3694551
2021,13,2021-04-01,CO,100,INgrooves,0.06073579
2021,13,2021-04-01,CO,100,Virgin,0.0
2021,13,2021-04-01,CO,100,Sony,0.35932485
2021,13,2021-04-01,CO,100,Orchard,0.11363347
2021,13,2021-04-01,CO,100,Warner,0.06913416
2021,13,2021-04-01,CO,100,Indies,0.02771662
2021,13,2021-04-01,CO,200,Universal,0.36353135
2021,13,2021-04-01,CO,200,INgrooves,0.0466167
2021,13,2021-04-01,CO,200,Virgin,0.0
2021,13,2021-04-01,CO,200,Sony,0.33667862
2021,13,2021-04-01,CO,200,Orchard,0.11755918
2021,13,2021-04-01,CO,200,Warner,0.09137542
2021,13,2021-04-01,CO,200,Indies,0.04423873
2021,14,2021-04-08,CO,10,Universal,0.40442105
2021,14,2021-04-08,CO,10,INgrooves,0.09510881
2021,14,2021-04-08,CO,10,Virgin,0.0
2021,14,2021-04-08,CO,10,Sony,0.19037262
2021,14,2021-04-08,CO,10,Orchard,0.31009752
2021,14,2021-04-08,CO,10,Warner,0.0
2021,14,2021-04-08,CO,10,Indies,0.0
2021,14,2021-04-08,CO,20,Universal,0.39682517
2021,14,2021-04-08,CO,20,INgrooves,0.056696
2021,14,2021-04-08,CO,20,Virgin,0.0
2021,14,2021-04-08,CO,20,Sony,0.36162435
2021,14,2021-04-08,CO,20,Orchard,0.18485447
2021,14,2021-04-08,CO,20,Warner,0.0
2021,14,2021-04-08,CO,20,Indies,0.0
2021,14,2021-04-08,CO,50,Universal,0.34556016
2021,14,2021-04-08,CO,50,INgrooves,0.06221149
2021,14,2021-04-08,CO,50,Virgin,0.0
2021,14,2021-04-08,CO,50,Sony,0.41929991
2021,14,2021-04-08,CO,50,Orchard,0.11583317
2021,14,2021-04-08,CO,50,Warner,0.04082074
2021,14,2021-04-08,CO,50,Indies,0.01627453
2021,14,2021-04-08,CO,100,Universal,0.35836519
2021,14,2021-04-08,CO,100,INgrooves,0.05621626
2021,14,2021-04-08,CO,100,Virgin,0.0
2021,14,2021-04-08,CO,100,Sony,0.36683777
2021,14,2021-04-08,CO,100,Orchard,0.11318689
2021,14,2021-04-08,CO,100,Warner,0.07851738
2021,14,2021-04-08,CO,100,Indies,0.02687651
2021,14,2021-04-08,CO,200,Universal,0.36438271
2021,14,2021-04-08,CO,200,INgrooves,0.04401204
2021,14,2021-04-08,CO,200,Virgin,0.0
2021,14,2021-04-08,CO,200,Sony,0.33595109
2021,14,2021-04-08,CO,200,Orchard,0.11774669
2021,14,2021-04-08,CO,200,Warner,0.0974358
2021,14,2021-04-08,CO,200,Indies,0.04047166
2021,15,2021-04-15,CO,10,Universal,0.47324446
2021,15,2021-04-15,CO,10,INgrooves,0.10264201
2021,15,2021-04-15,CO,10,Virgin,0.0
2021,15,2021-04-15,CO,10,Sony,0.11090579
2021,15,2021-04-15,CO,10,Orchard,0.31320774
2021,15,2021-04-15,CO,10,Warner,0.0
2021,15,2021-04-15,CO,10,Indies,0.0
2021,15,2021-04-15,CO,20,Universal,0.39748951
2021,15,2021-04-15,CO,20,INgrooves,0.0615385
2021,15,2021-04-15,CO,20,Virgin,0.0
2021,15,2021-04-15,CO,20,Sony,0.35318989
2021,15,2021-04-15,CO,20,Orchard,0.1877821
2021,15,2021-04-15,CO,20,Warner,0.0
2021,15,2021-04-15,CO,20,Indies,0.0
2021,15,2021-04-15,CO,50,Universal,0.34780191
2021,15,2021-04-15,CO,50,INgrooves,0.06300444
2021,15,2021-04-15,CO,50,Virgin,0.0
2021,15,2021-04-15,CO,50,Sony,0.43154428
2021,15,2021-04-15,CO,50,Orchard,0.11657612
2021,15,2021-04-15,CO,50,Warner,0.0257493
2021,15,2021-04-15,CO,50,Indies,0.01532395
