anio,semana,mes,country_code,banda,conteo_universal
2019,7,FEBRERO,DO,200,53
2019,7,FEBRERO,MX,10,4
2019,7,FEBRERO,MX,30,16
2019,7,FEBRERO,MX,50,25
2019,7,FEBRERO,MX,100,44
2019,7,FEBRERO,MX,200,77
2019,7,FEBRERO,SP,10,4
2019,7,FEBRERO,SP,30,13
2019,7,FEBRERO,SP,50,21
2019,7,FEBRERO,SP,100,50
2019,7,FEBRERO,SP,200,84
2019,7,FEBRERO,CL,10,3
2019,7,FEBRERO,CL,30,11
2019,7,FEBRERO,CL,50,15
2019,7,FEBRERO,CL,100,31
2019,7,FEBRERO,CL,200,61
2019,7,FEBRERO,AR,10,4
2019,7,FEBRERO,AR,30,12
2019,7,FEBRERO,AR,50,18
2019,7,FEBRERO,AR,100,35
2019,7,FEBRERO,AR,200,65
2019,7,FEBRERO,BR,10,3
2019,7,FEBRERO,BR,30,8
2019,7,FEBRERO,BR,50,14
2019,7,FEBRERO,BR,100,30
2019,7,FEBRERO,BR,200,52
2019,7,FEBRERO,PT,10,7
2019,7,FEBRERO,PT,30,14
2019,7,FEBRERO,PT,50,22
2019,7,FEBRERO,PT,100,41
2019,7,FEBRERO,PT,200,82
2019,8,FEBRERO,CO,10,3
2019,8,FEBRERO,CO,30,11
2019,8,FEBRERO,CO,50,18
2019,8,FEBRERO,CO,100,36
2019,8,FEBRERO,CO,200,66
2019,8,FEBRERO,PE,10,3
2019,8,FEBRERO,PE,30,11
2019,8,FEBRERO,PE,50,17
2019,8,FEBRERO,PE,100,29
2019,8,FEBRERO,PE,200,59
2019,8,FEBRERO,EC,10,3
2019,8,FEBRERO,EC,30,13
2019,8,FEBRERO,EC,50,14
2019,8,FEBRERO,EC,100,36
2019,8,FEBRERO,EC,200,64
2019,8,FEBRERO,PN,10,3
2019,8,FEBRERO,PN,30,10
2019,8,FEBRERO,PN,50,16
2019,8,FEBRERO,PN,100,31
2019,8,FEBRERO,PN,200,55
2019,8,FEBRERO,CR,10,3
2019,8,FEBRERO,CR,30,13
2019,8,FEBRERO,CR,50,22
2019,8,FEBRERO,CR,100,40
2019,8,FEBRERO,CR,200,77
2019,8,FEBRERO,GT,10,2
2019,8,FEBRERO,GT,30,11
2019,8,FEBRERO,GT,50,19
2019,8,FEBRERO,GT,100,37
2019,8,FEBRERO,GT,200,67
2019,8,FEBRERO,SV,10,2
2019,8,FEBRERO,SV,30,13
2019,8,FEBRERO,SV,50,22
2019,8,FEBRERO,SV,100,38
2019,8,FEBRERO,SV,200,71
2019,8,FEBRERO,HN,10,2
2019,8,FEBRERO,HN,30,11
2019,8,FEBRERO,HN,50,22
2019,8,FEBRERO,HN,100,37
2019,8,FEBRERO,HN,200,62
2019,8,FEBRERO,NI,10,4
2019,8,FEBRERO,NI,30,12
2019,8,FEBRERO,NI,50,21
2019,8,FEBRERO,NI,100,35
2019,8,FEBRERO,NI,200,70
2019,8,FEBRERO,DO,10,2
2019,8,FEBRERO,DO,30,8
2019,8,FEBRERO,DO,50,10
2019,8,FEBRERO,DO,100,24
2019,8,FEBRERO,DO,200,45
2019,8,FEBRERO,MX,10,3
2019,8,FEBRERO,MX,30,15
2019,8,FEBRERO,MX,50,23
2019,8,FEBRERO,MX,100,41
2019,8,FEBRERO,MX,200,67
2019,8,FEBRERO,SP,10,3
2019,8,FEBRERO,SP,30,11
2019,8,FEBRERO,SP,50,19
2019,8,FEBRERO,SP,100,44
2019,8,FEBRERO,SP,200,76
2019,8,FEBRERO,CL,10,3
2019,8,FEBRERO,CL,30,10
2019,8,FEBRERO,CL,50,14
2019,8,FEBRERO,CL,100,29
2019,8,FEBRERO,CL,200,55
2019,8,FEBRERO,AR,10,5
2019,8,FEBRERO,AR,30,11
2019,8,FEBRERO,AR,50,16
2019,8,FEBRERO,AR,100,30
2019,8,FEBRERO,AR,200,62
2019,8,FEBRERO,BR,10,3
2019,8,FEBRERO,BR,30,7
2019,8,FEBRERO,BR,50,13
2019,8,FEBRERO,BR,100,26
2019,8,FEBRERO,BR,200,52
2019,8,FEBRERO,PT,10,7
2019,8,FEBRERO,PT,30,11
2019,8,FEBRERO,PT,50,18
2019,8,FEBRERO,PT,100,39
2019,8,FEBRERO,PT,200,79
2019,9,FEBRERO,CO,10,3
2019,9,FEBRERO,CO,30,11
2019,9,FEBRERO,CO,50,19
